title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
The Pacifier,2005,Mar,4,56000000,113006880,198006880
Walking Tall,2004,Apr,2,56000000,46213824,47856383
Zhuo yao ji,2015,Jul,12,56000000,32766,359295591
Joker,2019,Oct,2,55000000,335451311,1072507517
Forrest Gump,1994,Jul,6,55000000,330151138,679838260
Alvin and the Chipmunks,2007,Dec,14,55000000,217326974,362605033
Bohemian Rhapsody,2018,Oct,26,55000000,216303339,887875864
Hitch,2005,Feb,11,55000000,177784257,366784257
Meet the Parents,2000,Oct,6,55000000,166225040,330425040
The Pursuit of Happyness,2006,Dec,15,55000000,162586036,307311093
Pocahontas,1995,Jun,10,55000000,141579773,347100000
Superman,1978,Dec,15,55000000,134218018,300200000
The Nutty Professor,1996,Jun,28,55000000,128814019,273814019
Fifty Shades Darker,2017,Feb,8,55000000,114434010,381367046
Captain Phillips,2013,Oct,11,55000000,107136417,220648184
George Of The Jungle,1997,Jul,16,55000000,105263257,174463257
American Wedding,2003,Aug,1,55000000,104354205,232354205
Murder on the Orient Express,2017,Nov,3,55000000,102826543,351767147
The Equalizer,2014,Sep,26,55000000,101530738,192903624
Fifty Shades Freed,2018,Feb,7,55000000,100407760,371985018
Casper,1995,May,26,55000000,100328194,282300000
Date Night,2010,Apr,9,55000000,98711404,152269033
Maid in Manhattan,2002,Dec,13,55000000,93932896,163838217
Crimson Tide,1995,May,12,55000000,91387195,159387195
Flightplan,2005,Sep,23,55000000,89706988,214392904
Disclosure,1994,Dec,9,55000000,83015089,212200000
City of Angels,1998,Apr,10,55000000,78750909,198750909
Paddington,2014,Nov,28,55000000,76223578,252410984
R.V.,2006,Apr,28,55000000,71724497,87473024
Stargate,1994,Oct,28,55000000,71565669,196565669
Kill Bill: Volume 1,2003,Oct,10,55000000,70098138,176469428
Mr. Poppers's Penguins,2011,Jun,17,55000000,68224452,189624452
Bowfinger,1999,Aug,13,55000000,66458769,98699769
Kill Bill: Volume 2,2004,Apr,16,55000000,66207920,153535982
Tango & Cash,1989,Dec,22,55000000,63408614,63408614
Death Becomes Her,1992,Jul,31,55000000,58422650,149022650
Shanghai Noon,2000,May,26,55000000,56932305,71189835
Executive Decision,1996,Mar,15,55000000,56679192,122079192
Free Birds,2013,Oct,31,55000000,55750480,110387072
Alien 3,1992,May,22,55000000,54927174,158500000
The Forbidden Kingdom,2008,Apr,18,55000000,52075270,129075270
The Phantom of the Opera,2004,Dec,8,55000000,51225796,153770052
Muppets Most Wanted,2014,Mar,21,55000000,51178893,79312301
Evita,1996,Dec,20,55000000,50047179,151947179
Kubo and the Two Strings,2016,Aug,18,55000000,48023088,77548122
Mortal Kombat,2021,Apr,8,55000000,42201013,83383351
Ronin,1998,Sep,25,55000000,41610884,70692101
Burlesque,2010,Nov,24,55000000,39440655,90552675
The Ghost and the Darkness,1996,Oct,11,55000000,38564422,38564422
Changeling,2008,Oct,24,55000000,35739802,113805580
The Watch,2012,Jul,27,55000000,34353000,67130045
The Hunted,2003,Mar,14,55000000,34234008,47213095
Instinct,1999,Jun,4,55000000,34105207,34105207
Stuck On You,2003,Dec,12,55000000,33832741,63537164
Semi-Pro,2008,Feb,29,55000000,33479698,43980363
Annihilation,2018,Feb,23,55000000,32732301,43070915
Crimson Peak,2015,Oct,14,55000000,31090320,74966854
The Pirates! Band of Misfits,2012,Mar,28,55000000,31051126,136143605
In the Heights,2021,Jun,10,55000000,29879041,43621997
Aeon Flux,2005,Dec,2,55000000,25857987,53913573
Chain Reaction,1996,Aug,2,55000000,21226204,60209334
The Fan,1996,Aug,16,55000000,18582965,18582965
Elizabeth: The Golden Age,2007,Oct,12,55000000,16285240,74870866
Imagine That,2009,Jun,12,55000000,16222392,22438144
Gods and Generals,2003,Feb,21,55000000,12882934,12923936
Turbulence,1997,Jan,10,55000000,11532774,11532774
Bullet to the Head,2013,Jan,31,55000000,9489829,22597969
All the King's Men,2006,Sep,22,55000000,7221458,9521458
Thunderbirds,2004,Jul,30,55000000,6768055,28231444
Un long dimanche de fiançailles,2004,Nov,26,55000000,6167817,69722444
Lucky You,2007,May,4,55000000,5755286,6521829
Lolita,1998,Jul,22,55000000,1147784,1147784
Eye See You,2002,Sep,20,55000000,79161,1807990
Superman II,1981,Jun,19,54000000,108185706,190400000
Blade 2,2002,Mar,22,54000000,81676888,154338601
"You, Me and Dupree",2006,Jul,14,54000000,75802010,130402010
Seven Pounds,2008,Dec,19,54000000,69951824,166617328
The Godfather: Part III,1990,Dec,25,54000000,66666062,66772386
Elizabethtown,2005,Oct,14,54000000,26850426,50719373
Gigli,2003,Aug,1,54000000,6087542,7126002
Shaft,2000,Jun,16,53012938,70327868,107190108
The Dukes of Hazzard,2005,Aug,5,53000000,80270227,109848461
Law Abiding Citizen,2009,Oct,16,53000000,73357727,131159781
Black Mass,2015,Sep,17,53000000,62575678,98837872
Anastasia,1997,Nov,14,53000000,58403409,139801096
Moulin Rouge,2001,May,18,53000000,57386369,179199536
Domestic Disturbance,2001,Nov,2,53000000,45207112,54207112
Flags of Our Fathers,2006,Oct,20,53000000,33602376,63657941
Grindhouse,2007,Apr,6,53000000,25031037,50187789
Beloved,1998,Oct,16,53000000,22852487,22852487
Zero Dark Thirty,2012,Dec,19,52500000,95720716,134612435
Catch Me if You Can,2002,Dec,25,52000000,164606800,355612291
Mamma Mia!,2008,Jul,2,52000000,144130063,602891655
The Break-Up,2006,Jun,2,52000000,118703275,205727307
Valentine's Day,2010,Feb,12,52000000,110485654,217569328
Casino,1995,Nov,22,52000000,42438300,110400000
The Change-Up,2011,Aug,5,52000000,37243418,75997067
The Thin Red Line,1998,Dec,23,52000000,36400491,97709034
Man on the Moon,1999,Dec,22,52000000,34580635,47407635
From Paris With Love,2010,Feb,5,52000000,24077427,53139168
Bulletproof Monk,2003,Apr,16,52000000,23010607,26922492
"Me, Myself & Irene",2000,Jun,23,51000000,90570999,149270999
Barnyard: The Original Party Animals,2006,Aug,4,51000000,72779000,118583844
Alpha,2018,Aug,15,51000000,35851379,99624873
Deck the Halls,2006,Nov,22,51000000,35093569,46815807
The Adjustment Bureau,2011,Mar,4,50200000,62495645,126931325
The Twilight Saga: New Moon,2009,Nov,19,50000000,296623634,687557727
Shrek,2001,May,18,50000000,267655011,491812794
Ted,2012,Jun,29,50000000,218665740,556016627
22 Jump Street,2014,Jun,5,50000000,191719337,331333876
Robin Hood: Prince of Thieves,1991,Jun,14,50000000,165493908,390500000
Jerry Maguire,1996,Dec,13,50000000,153952592,273552592
Daddy’s Home,2015,Dec,25,50000000,150357137,241504989
As Good as it Gets,1997,Dec,24,50000000,148478011,314111923
Patch Adams,1998,Dec,25,50000000,135014968,202173000
Central Intelligence,2016,Jun,16,50000000,127440871,217194805
Anchorman 2: The Legend Continues,2013,Dec,18,50000000,127413176,172246223
Super 8,2011,Jun,10,50000000,127004179,257972745
Mr. Deeds,2002,Jun,28,50000000,126293452,171269535
Erin Brockovich,2000,Mar,17,50000000,125548685,257805243
Creed II,2018,Nov,21,50000000,115715889,213591522
Peter Rabbit,2018,Feb,8,50000000,115234093,346727372
How to Lose a Guy in 10 Days,2003,Feb,7,50000000,105807520,178503788
Interview with the Vampire,1994,Nov,11,50000000,105264608,223564608
The Mule,2018,Dec,14,50000000,103804407,173453994
Yes Man,2008,Dec,19,50000000,97690976,225990976
Non-Stop,2014,Feb,28,50000000,91742160,222383055
Stepmom,1998,Dec,25,50000000,91137662,159745279
Disney Planes,2013,Aug,9,50000000,90282580,238059569
Failure to Launch,2006,Mar,10,50000000,88715192,128402901
Inside Man,2006,Mar,24,50000000,88634237,185798265
The Emoji Movie,2017,Jul,26,50000000,86089513,216564840
"Crazy, Stupid, Love",2011,Jul,29,50000000,84351197,147142328
The Post,2017,Dec,22,50000000,81903458,179769457
Payback,1999,Feb,5,50000000,81526121,161626121
Congo,1995,Jun,9,50000000,81022333,152022333
Knowing,2009,Mar,20,50000000,79957634,186450317
The Ring Two,2005,Mar,18,50000000,75941727,161941727
We Bought a Zoo,2011,Dec,23,50000000,75624550,118729073
Moneyball,2011,Sep,23,50000000,75605492,111300835
Garfield: The Movie,2004,Jun,11,50000000,75367693,208094550
Christmas with the Kranks,2004,Nov,24,50000000,73701902,96469187
V for Vendetta,2006,Mar,17,50000000,70511035,130214162
Outbreak,1995,Mar,10,50000000,67823573,190023573
Race to Witch Mountain,2009,Mar,13,50000000,67172595,105103784
The Forgotten,2004,Sep,24,50000000,66711892,117211892
Herbie: Fully Loaded,2005,Jun,22,50000000,66010682,144110682
Shanghai Knights,2003,Feb,7,50000000,60470220,88316835
Planes: Fire and Rescue,2014,Jul,17,50000000,59157732,156399644
Curious George,2006,Feb,10,50000000,58640119,71052604
American Reunion,2012,Apr,4,50000000,56758835,236799211
Hansel & Gretel: Witch Hunters,2013,Jan,25,50000000,55703475,214949716
I am Number Four,2011,Feb,18,50000000,55100437,146195159
Don’t Say a Word,2001,Sep,28,50000000,54997476,104488383
13 Hours: The Secret Soldiers of Benghazi,2016,Jan,15,50000000,52853219,69411370
Unfaithful,2002,May,8,50000000,52752475,119114494
American Made,2017,Aug,23,50000000,51342000,135569212
Syriana,2005,Nov,23,50000000,50824620,92690959
Resident Evil: Apocalypse,2004,Sep,10,50000000,50740078,125168734
The Book of Life,2014,Oct,17,50000000,50151543,97651543
Absolute Power,1997,Feb,14,50000000,50068310,50068310
Firewall,2006,Feb,10,50000000,48751189,82751189
The Game,1997,Sep,12,50000000,48265581,80369970
G.I. Jane,1997,Aug,22,50000000,48169156,48169156
Into the Storm,2014,Aug,8,50000000,47602194,150429371
The Judge,2014,Oct,10,50000000,47119388,76073556
Silent Hill,2006,Apr,21,50000000,46982632,94704227
Tom and Jerry,2021,Feb,12,50000000,46000271,132064281
Rambo: Last Blood,2019,Sep,19,50000000,44819352,91419352
The Replacements,2000,Aug,11,50000000,44737059,50054511
The Negotiator,1998,Jul,29,50000000,44705766,49105766
War Dogs,2016,Aug,19,50000000,43034523,86234503
Beverly Hills Cop III,1994,May,25,50000000,42586861,119180938
Gremlins 2: The New Batch,1990,Jun,15,50000000,41476097,41476097
The Peacemaker,1997,Sep,26,50000000,41263140,62967368
Out of Time,2003,Oct,3,50000000,41083108,55489826
Bridget Jones: The Edge Of Reason,2004,Nov,12,50000000,40203020,263894551
The Beach,2000,Feb,11,50000000,39778599,39778599
The Adventures of Sharkboy and Lavagirl in 3-D,2005,Jun,10,50000000,39177684,69425966
On Deadly Ground,1994,Feb,18,50000000,38590458,38590458
Ninja Assassin,2009,Nov,25,50000000,38122883,62209892
Raising Helen,2004,May,28,50000000,37485528,49842431
The Nice Guys,2016,May,19,50000000,36261763,59596747
For Love of the Game,1999,Sep,17,50000000,35188640,46112640
Jack Frost,1998,Dec,11,50000000,34645374,34645374
Marmaduke,2010,Jun,4,50000000,33644788,89895930
Striptease,1996,Jun,28,50000000,33109743,113309743
Hereafter,2010,Oct,15,50000000,32746941,108660270
Murder by Numbers,2002,Apr,19,50000000,31874869,56643267
Assassins,1995,Oct,6,50000000,30306268,83306268
Hostiles,2017,Dec,22,50000000,29819114,36976336
Zoolander 2,2016,Feb,5,50000000,28848693,55348693
Defiance,2009,Jan,16,50000000,28644813,52987754
Hannibal Rising,2007,Feb,9,50000000,27669725,80583311
The Story of Us,1999,Oct,15,50000000,27100030,27100030
The Host,2013,Mar,22,50000000,26623701,64477051
Basic,2003,Mar,28,50000000,26599248,42598498
Run All Night,2015,Mar,11,50000000,26461644,71561644
Blood Work,2002,Aug,9,50000000,26199517,26199517
The International,2009,Feb,13,50000000,25450527,53850527
Escape from L.A.,1996,Aug,9,50000000,25426861,25426861
Twisted,2004,Feb,27,50000000,25195050,40119848
All the Money in the World,2017,Dec,25,50000000,25106325,56890649
The Life Aquatic with Steve Zissou,2004,Dec,10,50000000,24006726,34806726
The Iron Giant,1999,Aug,4,50000000,23159305,31333917
Hellboy,2019,Apr,10,50000000,21903748,53956480
Your Highness,2011,Apr,8,50000000,21596445,26121638
Snowden,2015,Dec,30,50000000,21587519,35380918
Dream House,2011,Sep,30,50000000,21302340,41642166
Free State of Jones,2016,Jun,24,50000000,20810036,23237252
Gamer,2009,Sep,4,50000000,20534907,42002029
Man of the House,2005,Feb,25,50000000,19699706,22099706
The Life of David Gale,2003,Feb,21,50000000,19694635,28920188
Beautiful Creatures,2013,Feb,14,50000000,19452138,60282876
Into the Blue,2005,Sep,30,50000000,18782227,41982227
Eastern Promises,2007,Sep,14,50000000,17181265,56077088
Baby’s Day Out,1994,Jul,1,50000000,16581575,16581575
The Messenger: The Story of Joan of Arc,1999,Nov,12,50000000,14271297,14271297
Fair Game,1995,Nov,3,50000000,11497497,26097497
Drive Angry,2011,Feb,25,50000000,10721033,41042583
Mad City,1997,Nov,7,50000000,10561038,10561038
The Scarlet Letter,1995,Oct,13,50000000,10359006,10359006
Domino,2005,Oct,14,50000000,10169202,23574057
Jade,1995,Oct,13,50000000,9812870,9812870
Street Fighter: The Legend of Chun-Li,2009,Feb,27,50000000,8742261,12660287
Death to Smoochy,2002,Mar,29,50000000,8355815,8374062
Early Man,2018,Jan,26,50000000,8267544,45285890
The Boat That Rocked,2009,Nov,13,50000000,8017467,37472651
The Big Bounce,2004,Jan,30,50000000,6471394,6626115
What Planet Are You From?,2000,Mar,3,50000000,6291602,6291602
Liu Lang Di Qiu,2019,Feb,1,50000000,5875487,727846450
Arctic Dogs,2019,Nov,1,50000000,5801249,9694569
The Rhythm Section,2020,Jan,31,50000000,5437971,5983043
Child 44,2015,Apr,17,50000000,1224330,8004221
Outlander,2009,Jan,23,50000000,166003,1250617
Upside Down,2012,Aug,23,50000000,102118,26387039
Shanghai,2012,Sep,7,50000000,46425,15505922
Dora and the Lost City of Gold,2019,Aug,8,49000000,60477943,120597108
The One,2001,Nov,2,49000000,43905746,72689126
Chappie,2015,Mar,4,49000000,31569268,105002056
The Adventures of Ford Fairlane,1990,Jul,11,49000000,20423389,20423389
Anna Karenina,2012,Sep,7,49000000,12816367,71004627
Indiana Jones and the Last Crusade,1989,May,24,48000000,197171806,474171806
The Ring,2002,Oct,18,48000000,129094024,248218486
Traffic,2000,Dec,27,48000000,124107476,208300000
Panic Room,2002,Mar,29,48000000,95308367,196308367
Taken 3,2015,Jan,2,48000000,89256424,327656424
Zombieland: Double Tap,2019,Oct,9,48000000,73118130,122266018
The Thomas Crown Affair,1999,Aug,6,48000000,69304264,124304264
Instant Family,2018,Nov,16,48000000,67363237,119736188
The Bone Collector,1999,Nov,5,48000000,66488090,151463090
Three Kings,1999,Oct,1,48000000,60652036,107752036
Tooth Fairy,2010,Jan,22,48000000,60022256,112610386
Rat Race,2001,Aug,17,48000000,56607223,86607223
3:10 to Yuma,2007,Sep,7,48000000,53606916,71171825
K-PAX,2001,Aug,13,48000000,50315140,64978140
Kate and Leopold,2001,Dec,25,48000000,47095453,70937778
Bedazzled,2000,Oct,20,48000000,37879996,90376224
Out of Sight,1998,Jun,26,48000000,37562568,77562568
The Cotton Club,1984,Dec,14,48000000,25928721,25928721
Charlie’s Angels,2019,Nov,13,48000000,17801306,73180003
Rambo,2008,Jan,25,47500000,42754105,113244290
The Infiltrator,2016,Jul,13,47500000,15436808,22152137
Dick Tracy,1990,Jun,15,47000000,103738726,162738726
Arrival,2016,Nov,9,47000000,100546139,203030557
The Cable Guy,1996,Jun,14,47000000,60240295,102825796
Addams Family Values,1993,Nov,19,47000000,46293855,46293855
Earth,2009,Apr,22,47000000,32011576,116773317
Riding in Cars with Boys,2001,Oct,19,47000000,29781453,29781453
Happily N'Ever After,2007,Jan,5,47000000,15849032,37923818
Solaris,2002,Nov,27,47000000,14970038,14970038
Jonah Hex,2010,Jun,18,47000000,10547117,11022696
Mary Reilly,1996,Feb,23,47000000,5707094,12900000
Silence,2016,Dec,23,46500000,7100177,23726626
Mr. Nobody,2012,Oct,4,46500000,3622,22254
My Best Friend's Wedding,1997,Jun,20,46000000,126813153,298923419
America's Sweethearts,2001,Jul,20,46000000,93607673,160648493
Star Trek: First Contact,1996,Nov,22,46000000,92027888,150000000
Insomnia,2002,May,24,46000000,67263182,113622499
Prisoners,2013,Sep,19,46000000,61002302,113366055
Courage Under Fire,1996,Jul,12,46000000,59003384,100833145
Inchon,1982,Sep,17,46000000,4408636,4408636
Arthur and the War of Two Worlds,2015,Nov,5,45500000,347136,36180824
Liar Liar,1997,Mar,21,45000000,181410615,302710615
A Bug's Life,1998,Nov,20,45000000,162798565,363095319
Taken 2,2012,Sep,27,45000000,139854287,377807404
The Flintstones,1994,May,27,45000000,130531208,358500000
Scary Movie 3,2003,Oct,24,45000000,110000082,155200000
Miss Congeniality,2000,Dec,22,45000000,106807667,213420951
Pitch Perfect 3,2017,Dec,21,45000000,104897530,185736412
Journey to the Center of the Earth,2008,Jul,11,45000000,101704370,243180937
The Pelican Brief,1993,Dec,17,45000000,100768056,187995859
The Princess Diaries 2: Royal Engagement,2004,Aug,11,45000000,95149435,122071435
The Bucket List,2007,Dec,25,45000000,93466502,174807445
The Client,1994,Jul,20,45000000,92115211,117615211
The Muppets,2011,Nov,23,45000000,88625922,160971922
Patriot Games,1992,Jun,5,45000000,83287363,178100000
Monster-in-Law,2005,May,13,45000000,82931301,155931301
Training Day,2001,Oct,5,45000000,76261036,104505362
The Girl on the Train,2016,Oct,5,45000000,75395035,174278214
Galaxy Quest,1999,Dec,24,45000000,71423726,90523726
Scary Movie 2,2001,Jul,4,45000000,71277420,141189101
Blade,1998,Aug,21,45000000,70141876,131237688
Coach Carter,2005,Jan,14,45000000,67264877,76665507
The Bounty Hunter,2010,Mar,19,45000000,67061228,135808837
Changing Lanes,2002,Apr,12,45000000,66790248,66790248
Anaconda,1997,Apr,11,45000000,65598907,136998907
Underworld: Evolution,2006,Jan,20,45000000,62318875,113417762
A Beautiful Day in the Neighborhood,2019,Nov,22,45000000,61696436,68406338
Coyote Ugly,2000,Aug,4,45000000,60786269,113916474
Love Actually,2003,Nov,7,45000000,59472278,246821053
Jack,1996,Aug,9,45000000,58617334,58617334
The Specialist,1994,Oct,7,45000000,57362581,170362581
Office Christmas Party,2016,Dec,8,45000000,54767494,115097874
Tin Cup,1996,Aug,16,45000000,53854588,75854588
"Yours, Mine and Ours",2005,Nov,23,45000000,53359917,72359917
Kicking and Screaming,2005,May,13,45000000,52842724,55842724
The Hitchhiker's Guide to the Galaxy,2005,Apr,29,45000000,51019112,102746214
Resident Evil: Extinction,2007,Sep,21,45000000,50648679,149871103
Fat Albert,2004,Dec,25,45000000,48114556,48563556
Savages,2012,Jul,6,45000000,47323100,82513490
The River Wild,1994,Sep,30,45000000,46815000,94215000
Blended,2014,May,22,45000000,46290741,127990741
All Eyez on Me,2016,Jun,15,45000000,44922302,57697426
Peter Rabbit 2: The Runaway,2021,Mar,26,45000000,40391464,152900580
Last Holiday,2006,Jan,13,45000000,38399961,43343247
16 Blocks,2006,Mar,3,45000000,36895141,65595141
The Indian in the Cupboard,1995,Jul,14,45000000,35627222,35627222
Cellular,2004,Sep,10,45000000,32003620,61453420
Doctor Sleep,2019,Oct,31,45000000,31581712,71856239
The Ant Bully,2006,Jul,28,45000000,28142535,49610898
Johnny English,2003,Apr,11,45000000,28013509,161735791
Dune,1984,Dec,14,45000000,27447471,27449336
Aliens in the Attic,2009,Jul,31,45000000,25200412,59551283
Across the Universe,2007,Sep,14,45000000,24343673,29367143
Revolutionary Road,2008,Dec,26,45000000,22951340,79604820
Babylon A.D.,2008,Aug,29,45000000,22532572,70216497
Richard Jewell,2019,Dec,13,45000000,22345542,43100570
Frankenstein,1994,Nov,4,45000000,22006296,112006296
The Glimmer Man,1996,Oct,4,45000000,20404841,36404841
UglyDolls,2019,May,1,45000000,20150241,28363146
Multiplicity,1996,Jul,17,45000000,20133326,20133326
The Pledge,2001,Jan,19,45000000,19719930,29406132
The Producers: The Movie Musical,2005,Dec,16,45000000,19398532,32952995
The Phantom,1996,Jun,7,45000000,17220599,17220599
Rebound,2005,Jul,1,45000000,16809014,17492014
The Ghost Writer,2010,Feb,19,45000000,15541549,65532491
All the Pretty Horses,2000,Dec,22,45000000,15527125,18120267
Bangkok Dangerous,2008,Sep,5,45000000,15298133,46598133
Nixon,1995,Dec,20,45000000,13668249,34668249
Dredd,2012,Sep,7,45000000,13414714,41467606
The Rum Diary,2011,Oct,28,45000000,13109815,21544732
Deep Rising,1998,Jan,30,45000000,11203026,11203026
Welcome to Marwen,2018,Dec,21,45000000,10763520,13086137
Bloodshot,2019,Nov,29,45000000,10021787,37321081
Johnny English Reborn,2011,Oct,21,45000000,8406711,164640401
Miracle at St. Anna,2008,Sep,26,45000000,7916887,9676497
Big Trouble,2002,Apr,5,45000000,7262288,8488871
Man cheng jin dai huang jin jia,2006,Dec,21,45000000,6566773,76904429
Love in the Time of Cholera,2007,Nov,16,45000000,4617608,31077418
Pinocchio,2002,Dec,25,45000000,3681811,31681811
Shadow Conspiracy,1997,Jan,31,45000000,2154540,2154540
Argo,2012,Oct,11,44500000,136025503,227140757
The Fugitive,1993,Aug,6,44000000,183875760,353715317
Rambo: First Blood Part II,1985,May,22,44000000,150415432,300400000
Sleepers,1996,Oct,18,44000000,53300852,165600852
Charlie St. Cloud,2010,Jul,30,44000000,31206263,48478084
The Juror,1996,Feb,2,44000000,22730924,22730924
The Interview,2014,Feb,6,44000000,6105175,12342632
Heaven's Gate,1980,Nov,19,44000000,3484331,3484523
The Heat,2013,Jun,28,43000000,159581587,229727774
Finding Forrester,2000,Dec,19,43000000,51768623,80013623
28 Days,2000,Apr,14,43000000,37035515,62063972
Danny the Dog,2005,May,13,43000000,24537621,49037621
The Sweetest Thing,2002,Apr,12,43000000,24430272,63078756
The Girl in the Spider’s Web,2018,Oct,25,43000000,14828555,34983342
A Monster Calls,2016,Oct,7,43000000,3740823,46414530
The Mechanic,2011,Jan,28,42500000,29121498,76347393
The Firm,1993,Jun,30,42000000,158340892,270340892
21 Jump Street,2012,Mar,14,42000000,138447667,202812429
Notting Hill,1999,May,28,42000000,116089678,363718196
Little Women,2019,Dec,25,42000000,108095955,218895434
Chicken Run,2000,Jun,21,42000000,106793915,227793915
Along Came Polly,2004,Jan,16,42000000,88073507,173044410
Boomerang,1992,Jul,1,42000000,70052444,131052444
Brüno,2009,Jul,10,42000000,60054530,138708527
Cleopatra,1963,Jun,12,42000000,57000000,71000000
Snatched,2017,May,12,42000000,45852178,57852177
Here Comes the Boom,2012,Oct,10,42000000,45290318,73239258
High Crimes,2002,Apr,5,42000000,41543207,63781100
The Mirror Has Two Faces,1996,Nov,15,42000000,41267469,41267469
Red Riding Hood,2011,Mar,11,42000000,37662162,91678442
The Mothman Prophecies,2002,Jan,25,42000000,35228696,56438555
Licence to Kill,1989,Jul,14,42000000,34667015,156167015
Holmes & Watson,2018,Dec,20,42000000,30568743,41926605
One for the Money,2012,Jan,27,42000000,26414527,36197221
15 Minutes,2001,Mar,9,42000000,24375436,56331864
Lord of War,2005,Sep,16,42000000,24149632,60437727
Super Mario Bros.,1993,May,28,42000000,20844907,20844907
Hero,1992,Oct,2,42000000,19487173,66787173
Man on a Ledge,2012,Jan,27,42000000,18620000,49621440
The Warrior's Way,2010,Dec,3,42000000,5666340,8514325
McHale's Navy,1997,Apr,18,42000000,4408420,4408420
Micmacs,2010,May,28,42000000,1259693,18821576
8 Mile,2002,Nov,8,41000000,116724075,245768384
Rocketman,2019,May,24,41000000,96368160,192137020
A Knight’s Tale,2001,May,11,41000000,56083966,100622586
The Medallion,2003,Aug,22,41000000,22108977,22108977
The Big Year,2011,Oct,14,41000000,7204138,7684524
The Sixth Sense,1999,Jan,15,40000000,293506292,672806292
Wedding Crashers,2005,Jul,15,40000000,209218368,283218368
The Karate Kid,2010,Jun,11,40000000,176591618,351774938
John Wick: Chapter 3 — Parabellum,2019,May,15,40000000,171016727,325674995
Fifty Shades of Grey,2015,Feb,11,40000000,166167230,570794950
Knives Out,2019,Nov,27,40000000,165364060,312952178
The Proposal,2009,Jun,19,40000000,163958031,314709717
American Hustle,2013,Dec,12,40000000,150098456,257858943
Cheaper by the Dozen,2003,Dec,25,40000000,138614544,190212113
Lucy,2014,Jul,25,40000000,126573960,457507776
Lone Survivor,2013,Dec,25,40000000,125095601,149804632
Back to the Future Part II,1989,Nov,22,40000000,118450002,331971881
Double Jeopardy,1999,Sep,24,40000000,116735231,177835231
Spy Kids 3-D: Game Over,2003,Jul,25,40000000,111760631,167851995
A Time to Kill,1996,Jul,24,40000000,108766007,152266007
A League of Their Own,1992,Jul,1,40000000,107533925,132440066
The Conjuring 2: The Enfield Poltergeist,2016,Jun,9,40000000,102470008,310201399
The Social Network,2010,Oct,1,40000000,96962694,224922135
Julie & Julia,2009,Aug,7,40000000,94125426,131516178
He's Just Not That Into You,2009,Feb,6,40000000,93953653,181053657
John Wick: Chapter Two,2017,Feb,9,40000000,92029184,171317271
Ride Along 2,2016,Jan,14,40000000,90862685,124827316
Scary Movie 4,2006,Apr,14,40000000,90710620,178710620
Get Hard,2015,Mar,26,40000000,90411453,111711453
Scream 3,2000,Feb,4,40000000,89138076,161838076
Back to the Future Part III,1990,May,24,40000000,88055283,244087268
The Accountant,2016,Oct,11,40000000,86260045,152962083
Dumb and Dumber To,2014,Nov,13,40000000,86208010,156553592
The Other Woman,2014,Apr,23,40000000,83911193,195111193
Bram Stoker's Dracula,1992,Nov,13,40000000,82522790,215862692
Eight Below,2006,Feb,17,40000000,81612565,120455994
The Talented Mr. Ripley,1999,Dec,24,40000000,81292135,128792135
The Intern,2015,Sep,24,40000000,75764672,197115710
The Last of the Mohicans,1992,Sep,25,40000000,75505856,75505856
Ray,2004,Oct,29,40000000,75305995,124823094
Sin City,2005,Apr,1,40000000,74103820,158527918
Bridge of Spies,2015,Oct,14,40000000,72313754,162498338
Vantage Point,2008,Feb,22,40000000,72266306,150886329
"I Love You, Man",2009,Mar,20,40000000,72013010,92302502
Shallow Hal,2001,Nov,9,40000000,70836296,70836296
JFK,1991,Dec,20,40000000,70405498,205400000
Big Momma's House 2,2006,Jan,27,40000000,70165972,137047376
Angel Has Fallen,2019,Aug,22,40000000,69030436,133365452
The House with a Clock in its Walls,2018,Sep,19,40000000,68549695,131457147
Hacksaw Ridge,2016,Nov,3,40000000,67209615,169023926
The Mexican,2001,Mar,2,40000000,66808615,145238250
The Final Destination,2009,Aug,28,40000000,66477700,187384627
The Conjuring: The Devil Made Me Do It,2021,Mar,7,40000000,65565074,200215079
17 Again,2009,Apr,17,40000000,64167069,139474906
Unknown,2011,Feb,18,40000000,63686397,136123083
Get Him to the Greek,2010,Jun,4,40000000,61153526,92994927
Gothika,2003,Nov,21,40000000,59588068,141484812
Behind Enemy Lines,2001,Nov,30,40000000,58855732,58855732
The Lincoln Lawyer,2011,Mar,18,40000000,58009200,87145086
Shall We Dance?,2004,Oct,15,40000000,57887882,118097882
Invincible,2006,Aug,25,40000000,57806952,58501127
Escape From Planet Earth,2013,Feb,15,40000000,57012977,74156610
Small Soldiers,1998,Jul,10,40000000,55143823,71743823
Spawn,1997,Jul,31,40000000,54979992,87949859
Horrible Bosses 2,2014,Nov,26,40000000,54445357,105945357
The Count of Monte Cristo,2002,Jan,25,40000000,54228104,75389090
The Prestige,2006,Oct,20,40000000,53089891,104407366
The Lake House,2006,Jun,16,40000000,52330111,114830111
Predators,2010,Jul,9,40000000,52000688,127234389
The Odd Life of Timothy Green,2012,Aug,15,40000000,51853450,55249159
The Living Daylights,1987,Jul,31,40000000,51185000,191200000
Apocalypto,2006,Dec,8,40000000,50866635,121032272
Music and Lyrics,2007,Feb,14,40000000,50572589,146196885
Legal Eagles,1986,Jun,18,40000000,49851591,49851591
Secret Window,2004,Mar,12,40000000,47958031,92110539
